YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,WS50M,WD50M,RHOA,QV10M,CLOUD_AMT
2015,1,1,0,0.0,6.63,97.87,99.49,8.94,219.1,12.09,220.3,1.23,6.03,75.33
2015,1,1,1,0.0,6.94,97.85,99.46,8.81,223.0,12.0,223.7,1.23,6.15,97.73
2015,1,1,2,0.0,7.1,97.72,99.46,8.53,222.1,11.55,223.4,1.23,6.21,99.83
2015,1,1,3,0.0,7.07,97.82,99.35,8.06,216.2,10.8,216.8,1.23,6.21,99.78
2015,1,1,4,0.0,7.22,97.6,99.35,7.97,215.9,11.11,217.2,1.23,6.26,100.0
2015,1,1,5,0.0,7.45,97.43,99.32,8.06,215.8,11.21,217.2,1.23,6.34,99.69
2015,1,1,6,0.0,7.69,97.13,99.25,8.35,211.9,11.54,213.4,1.23,6.43,100.0
2015,1,1,7,0.0,8.03,96.8,99.24,9.16,212.3,12.45,213.7,1.22,6.55,99.59
2015,1,1,8,0.0,8.28,96.84,99.17,9.62,207.4,13.02,208.8,1.22,6.67,99.66
2015,1,1,9,27.52,8.38,96.97,99.09,9.75,204.4,12.89,205.9,1.22,6.73,100.0
2015,1,1,10,29.67,8.57,96.76,98.99,10.18,203.2,13.59,204.9,1.22,6.79,99.47
2015,1,1,11,81.82,9.03,95.99,98.85,11.87,206.1,15.89,208.1,1.22,6.95,100.0
2015,1,1,12,76.95,9.55,95.17,98.68,13.65,208.4,18.11,210.4,1.21,7.14,100.0
2015,1,1,13,61.88,9.81,94.89,98.49,14.31,210.0,18.85,211.9,1.21,7.26,100.0
2015,1,1,14,24.7,10.04,94.74,98.38,14.32,215.4,18.73,216.6,1.21,7.39,100.0
2015,1,1,15,7.4,10.26,94.83,98.35,13.7,219.6,18.03,220.7,1.2,7.51,100.0
2015,1,1,16,0.0,10.47,94.81,98.28,13.4,221.3,17.64,222.7,1.2,7.63,99.71
2015,1,1,17,0.0,10.69,95.19,98.22,13.41,222.4,17.6,223.6,1.2,7.77,99.72
2015,1,1,18,0.0,10.83,95.44,98.14,13.36,221.9,17.56,223.2,1.2,7.87,81.27
2015,1,1,19,0.0,10.96,95.38,98.07,13.53,222.7,17.76,224.1,1.2,7.94,85.58
2015,1,1,20,0.0,11.09,95.34,98.02,13.6,225.8,17.86,227.2,1.2,8.02,76.55
2015,1,1,21,0.0,11.12,95.59,98.0,13.59,232.9,17.79,234.3,1.2,8.05,46.74
2015,1,1,22,0.0,11.07,95.36,98.03,13.69,244.1,18.01,245.6,1.2,7.99,72.65
2015,1,1,23,0.0,10.21,93.04,98.12,14.46,258.1,19.05,259.5,1.2,7.32,66.91
2015,1,2,0,0.0,7.97,93.03,98.27,14.18,265.9,18.48,267.1,1.21,6.27,57.77
2015,1,2,1,0.0,6.47,91.9,98.43,13.7,271.2,17.94,272.3,1.22,5.56,42.25
2015,1,2,2,0.0,5.16,89.57,98.62,13.07,274.2,17.2,275.2,1.23,4.92,52.75
2015,1,2,3,0.0,4.24,87.08,98.77,12.33,274.5,16.48,275.5,1.24,4.47,13.14
2015,1,2,4,0.0,3.73,85.24,98.91,11.72,274.0,15.84,275.0,1.24,4.22,18.48
2015,1,2,5,0.0,3.5,85.12,99.03,11.32,272.8,15.4,273.9,1.24,4.14,22.69
