YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,WS50M,WD50M,RHOA,QV10M,CLOUD_AMT
2015,1,1,0,0.0,8.14,96.55,100.49,7.92,212.9,11.17,214.3,1.24,6.5,99.68
2015,1,1,1,0.0,8.21,96.56,100.36,8.16,204.9,11.32,206.3,1.24,6.54,99.97
2015,1,1,2,0.0,8.34,96.58,100.35,7.83,207.4,11.04,208.6,1.24,6.6,100.0
2015,1,1,3,0.0,8.29,95.62,100.38,7.91,213.3,11.26,214.5,1.24,6.49,100.0
2015,1,1,4,0.0,7.99,96.28,100.26,6.91,207.2,9.97,208.4,1.24,6.42,99.69
2015,1,1,5,0.0,8.09,96.98,100.13,6.85,197.3,9.84,198.6,1.23,6.54,99.73
2015,1,1,6,0.0,8.55,96.9,100.01,7.4,191.5,10.58,193.3,1.23,6.76,99.69
2015,1,1,7,0.0,9.15,96.7,99.81,9.02,185.1,12.57,187.1,1.23,7.04,100.0
2015,1,1,8,0.0,9.95,96.21,99.57,11.47,186.1,15.59,188.4,1.22,7.39,100.0
2015,1,1,9,12.68,10.8,95.25,99.39,13.69,196.6,18.45,199.1,1.21,7.74,100.0
2015,1,1,10,17.98,11.48,95.02,99.27,13.86,203.6,18.54,205.7,1.21,8.09,100.0
2015,1,1,11,51.1,11.92,94.74,99.22,13.53,211.5,18.35,213.6,1.21,8.3,100.0
2015,1,1,12,51.17,12.17,94.74,99.21,12.76,219.8,17.24,221.4,1.21,8.44,100.0
2015,1,1,13,46.65,12.26,95.26,99.18,11.21,224.2,15.28,225.8,1.2,8.54,100.0
2015,1,1,14,19.67,12.2,95.61,99.16,9.86,227.1,13.64,228.5,1.2,8.55,100.0
2015,1,1,15,14.35,12.0,95.73,99.14,9.2,229.3,12.9,230.5,1.2,8.47,100.0
2015,1,1,16,0.0,11.75,95.81,99.11,8.94,234.1,12.6,235.2,1.21,8.34,99.84
2015,1,1,17,0.0,11.35,95.69,99.12,8.92,242.1,12.5,243.0,1.21,8.1,99.84
2015,1,1,18,0.0,10.55,94.91,99.18,9.35,251.0,13.01,252.0,1.21,7.58,93.18
2015,1,1,19,0.0,9.28,94.27,99.29,10.25,255.8,13.99,256.8,1.22,6.87,99.85
2015,1,1,20,0.0,8.31,94.01,99.43,11.04,260.6,14.96,261.9,1.23,6.4,97.18
2015,1,1,21,0.0,7.25,92.2,99.61,11.35,271.1,15.43,272.3,1.23,5.8,92.76
2015,1,1,22,0.0,5.94,89.64,99.82,10.87,275.7,14.92,276.6,1.24,5.12,98.45
2015,1,1,23,0.0,4.99,87.33,100.0,10.25,273.7,14.33,274.6,1.25,4.64,69.64
2015,1,2,0,0.0,4.36,84.71,100.18,10.02,272.3,14.13,273.3,1.25,4.26,57.23
2015,1,2,1,0.0,4.03,83.86,100.32,9.76,269.7,13.85,270.7,1.26,4.11,18.47
2015,1,2,2,0.0,3.91,83.49,100.46,9.7,268.0,13.81,269.1,1.26,4.06,32.8
2015,1,2,3,0.0,3.84,83.4,100.56,9.72,267.2,13.79,268.3,1.26,4.04,36.25
2015,1,2,4,0.0,3.78,84.03,100.66,9.79,266.3,13.84,267.4,1.26,4.06,54.17
2015,1,2,5,0.0,3.69,84.85,100.76,9.99,267.3,14.05,268.5,1.26,4.08,53.0
2015,1,2,6,0.0,3.47,85.26,100.88,9.84,270.1,13.79,271.2,1.27,4.04,54.38
2015,1,2,7,0.0,3.16,85.56,101.0,9.46,271.9,13.3,273.0,1.27,3.95,65.1
2015,1,2,8,0.0,2.79,85.34,101.12,8.91,273.0,12.63,274.0,1.27,3.84,47.83
2015,1,2,9,26.3,2.59,84.9,101.23,8.26,272.0,11.72,273.0,1.28,3.75,56.56
2015,1,2,10,88.05,2.94,84.8,101.29,7.41,266.5,10.42,267.9,1.28,3.83,63.97
2015,1,2,11,156.88,3.48,84.74,101.32,7.13,259.7,9.74,261.2,1.27,3.97,21.52
2015,1,2,12,186.25,3.93,84.96,101.4,7.31,256.3,9.91,257.8,1.27,4.11,22.04
2015,1,2,13,182.43,4.08,85.48,101.42,7.4,254.2,10.21,255.8,1.27,4.19,3.01
2015,1,2,14,122.3,3.83,87.78,101.4,7.15,251.1,10.11,252.6,1.27,4.25,8.14
2015,1,2,15,37.45,3.38,90.79,101.37,6.65,243.6,9.74,244.8,1.27,4.3,49.52
2015,1,2,16,0.0,3.06,93.68,101.32,6.3,231.3,9.2,232.2,1.27,4.36,100.0
2015,1,2,17,0.0,3.05,95.21,101.29,6.66,223.5,9.35,224.7,1.27,4.44,99.76
2015,1,2,18,0.0,3.14,95.65,101.28,7.13,221.4,9.72,222.9,1.27,4.5,99.6
2015,1,2,19,0.0,3.17,95.83,101.24,7.3,219.3,9.83,220.8,1.27,4.52,99.6
2015,1,2,20,0.0,3.23,96.03,101.22,7.45,220.1,9.97,221.6,1.27,4.54,100.0
2015,1,2,21,0.0,3.33,96.14,101.17,7.39,221.0,9.9,222.6,1.27,4.59,99.68
