YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,WS50M,WD50M,RHOA,QV10M,CLOUD_AMT
2015,1,1,0,0.0,8.4,92.02,100.09,11.28,232.3,15.17,233.0,1.23,6.32,99.66
2015,1,1,1,0.0,8.07,92.46,100.06,11.06,229.2,14.67,229.8,1.23,6.19,100.0
2015,1,1,2,0.0,7.67,93.6,100.02,10.37,226.0,13.71,226.4,1.24,6.11,100.0
2015,1,1,3,0.0,7.85,93.37,100.03,10.31,225.2,13.56,225.6,1.23,6.17,99.6
2015,1,1,4,0.0,8.17,93.35,99.96,10.02,222.7,13.33,223.2,1.23,6.31,100.0
2015,1,1,5,0.0,8.38,92.99,99.9,9.83,223.8,13.17,224.2,1.23,6.38,99.58
2015,1,1,6,0.0,8.27,92.32,99.84,9.41,223.7,12.82,224.0,1.23,6.28,99.63
2015,1,1,7,0.0,8.01,92.71,99.76,8.79,219.4,12.03,219.7,1.23,6.21,99.77
2015,1,1,8,0.0,8.2,93.04,99.67,8.55,212.9,11.95,213.5,1.23,6.32,99.81
2015,1,1,9,20.92,8.89,92.22,99.46,9.47,201.1,13.27,202.3,1.22,6.59,100.0
2015,1,1,10,27.73,9.75,91.53,99.22,11.94,195.4,16.23,196.8,1.22,6.94,100.0
2015,1,1,11,71.12,10.3,90.11,98.94,15.08,196.5,20.07,198.1,1.21,7.09,100.0
2015,1,1,12,56.08,10.63,88.94,98.72,16.9,207.4,22.15,208.7,1.21,7.17,100.0
2015,1,1,13,51.58,10.81,89.02,98.65,16.05,216.6,20.89,217.7,1.2,7.27,100.0
2015,1,1,14,12.2,10.93,89.96,98.6,14.84,221.8,19.33,223.0,1.2,7.44,100.0
2015,1,1,15,7.9,10.95,91.73,98.57,13.7,224.5,17.99,225.8,1.2,7.61,100.0
2015,1,1,16,0.0,11.08,91.97,98.53,13.06,226.3,17.34,227.6,1.2,7.71,99.43
2015,1,1,17,0.0,11.13,92.2,98.46,12.36,226.7,16.52,227.8,1.2,7.76,99.5
2015,1,1,18,0.0,11.03,92.28,98.4,11.66,228.9,15.62,229.8,1.2,7.72,99.69
2015,1,1,19,0.0,10.78,92.11,98.38,11.4,234.6,15.38,235.5,1.2,7.57,99.44
2015,1,1,20,0.0,10.29,90.31,98.41,12.21,242.3,16.38,243.5,1.2,7.15,99.73
2015,1,1,21,0.0,9.13,90.36,98.45,13.11,247.0,17.09,248.0,1.21,6.59,99.78
2015,1,1,22,0.0,8.03,90.87,98.54,13.65,253.5,17.59,255.0,1.22,6.14,99.63
2015,1,1,23,0.0,7.04,88.0,98.72,13.91,264.5,17.86,266.2,1.22,5.5,99.73
2015,1,2,0,0.0,5.84,86.4,98.94,13.2,269.3,17.0,270.6,1.23,4.95,99.49
2015,1,2,1,0.0,4.99,84.75,99.13,12.82,268.5,16.57,269.8,1.24,4.53,37.38
2015,1,2,2,0.0,4.46,81.86,99.3,12.54,266.7,16.27,268.0,1.24,4.19,99.59
2015,1,2,3,0.0,4.11,83.81,99.42,12.45,262.8,16.18,264.4,1.25,4.2,45.9
2015,1,2,4,0.0,4.09,85.55,99.51,12.59,259.4,16.39,261.2,1.25,4.29,99.64
2015,1,2,5,0.0,4.26,84.22,99.59,13.04,259.5,16.96,261.2,1.25,4.27,92.25
2015,1,2,6,0.0,4.27,83.11,99.71,13.14,261.0,17.05,262.7,1.25,4.21,99.83
2015,1,2,7,0.0,4.08,83.56,99.84,12.98,261.9,16.79,263.6,1.25,4.17,99.82
2015,1,2,8,0.0,3.84,83.7,99.97,12.57,262.2,16.21,263.9,1.26,4.09,99.86
2015,1,2,9,21.15,3.69,84.48,100.08,12.22,261.3,15.65,263.0,1.26,4.08,83.82
2015,1,2,10,78.47,3.72,85.18,100.17,12.21,261.0,15.51,262.8,1.26,4.13,78.32
2015,1,2,11,120.35,3.73,84.98,100.24,12.44,262.4,15.82,264.2,1.26,4.11,47.22
2015,1,2,12,142.9,3.84,81.19,100.31,12.61,265.3,16.19,267.0,1.26,3.93,35.24
