YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,WS50M,WD50M,RHOA,QV10M,CLOUD_AMT
2015,1,1,0,0.0,8.18,96.73,101.73,6.86,201.0,9.18,201.6,1.26,6.46,98.68
2015,1,1,1,0.0,8.35,96.42,101.63,7.24,197.3,9.96,199.3,1.25,6.51,99.89
2015,1,1,2,0.0,8.65,95.88,101.59,7.89,203.4,10.82,205.1,1.25,6.61,92.83
2015,1,1,3,0.0,9.05,95.5,101.67,7.75,212.7,10.83,214.2,1.25,6.76,100.0
2015,1,1,4,0.0,9.31,95.6,101.62,7.86,207.8,10.72,209.5,1.25,6.88,100.0
2015,1,1,5,0.0,9.24,96.33,101.48,7.69,194.6,10.3,195.5,1.25,6.92,99.76
2015,1,1,6,0.0,9.13,96.78,101.49,7.0,197.1,9.59,197.7,1.25,6.91,99.75
2015,1,1,7,0.0,9.6,95.73,101.56,8.36,205.0,11.8,206.5,1.25,7.04,99.87
2015,1,1,8,4.05,9.92,95.55,101.57,9.03,205.2,12.33,206.6,1.24,7.17,99.99
2015,1,1,9,26.48,10.21,94.81,101.49,9.98,203.9,13.38,205.5,1.24,7.25,100.0
2015,1,1,10,34.17,10.37,94.39,101.43,10.44,203.1,13.83,204.4,1.24,7.3,96.24
2015,1,1,11,49.75,10.55,93.96,101.36,10.83,205.8,14.29,207.0,1.24,7.35,97.08
2015,1,1,12,68.5,10.77,93.61,101.25,11.15,206.6,14.7,208.1,1.24,7.43,98.34
2015,1,1,13,31.38,11.1,92.92,101.11,11.75,206.3,15.37,207.9,1.23,7.55,98.14
2015,1,1,14,28.25,11.21,92.76,101.02,12.27,208.5,16.1,210.0,1.23,7.61,100.0
2015,1,1,15,16.48,11.16,93.01,100.95,12.53,211.1,16.46,212.5,1.23,7.62,99.63
2015,1,1,16,0.0,11.11,93.27,100.9,12.66,213.3,16.61,214.8,1.23,7.63,99.8
2015,1,1,17,0.0,11.14,93.52,100.85,12.66,216.4,16.61,217.9,1.23,7.67,99.88
2015,1,1,18,0.0,11.2,93.71,100.81,12.58,219.0,16.5,220.4,1.23,7.73,98.48
2015,1,1,19,0.0,11.27,93.96,100.77,12.48,220.9,16.39,222.4,1.23,7.78,99.75
2015,1,1,20,0.0,11.35,94.15,100.74,12.2,223.6,16.07,225.1,1.23,7.85,99.87
